折	zhé	tsyet tsyet	ts̯et ts̯et	 bend; break (v.t.) / bend; break (v.t.)	24790
頸	jǐng	kjiengX gjieng	kȷı́eng gȷı̄eng	 neck / neck	24791
死	sǐ	sijX	sı́ȷ	 die (v.)	24793
因	yīn	'jin	'ȷı̄n	 rely on	24798
耒	lěi	lwijX	lwı́ȷ		24801
冀	jì	kijH	kı̀ȷ	 hope	24809
復	fù	bjuwH bjuwH	bȷùw bȷùw	 again / again	24810
復	fù	bjuwH bjuwH	bȷùw bȷùw	 again / again	24810
不	bù	pjuw	pȷūw	 not	24818
可	kě	khaX	khá	 may; acceptable	24819
可以	kěyǐ	khaX yiX	khá yı́	 may; acceptable / take, use	24819
笑	xiào	sjewH	sȷèw	 to laugh	24831
欲	yù	yowk	yowk	 desire (v.)	24837
從政	cóng	dzjowng dzjowng tsyengH	dzȷōwng dzȷōwng ts̯èng	 to follow / to follow /	24842
政	zhèng	tsyengH	ts̯èng	 government	24842
樹	shù	dzyuH dzyuX	dz̯ù dz̯ú	 tree / plant (v.); place upright	24861
過	guō	kwa	kwā	 tough, fibrous (vegetables)	24871
過	guò	kwaH	kwà	 to pass; transgress	24871
在	zài	dzojX	dzóȷ	 be at, be present	24873
上	shàng	dzyangX	dz̯áng	 ascend	24877
上	shàng	dzyangX	dz̯áng	 ascend	24877
上帝	Shàngdì	dzyangX tejH	dz̯áng tèȷ	 ascend / God	24877
斷	duàn	twanX dwanX	twán dwán	 cut in two / be cut in two	24881
他/佗/它	tā	tha	thā	 another	24889
放	fàng	pjangH	pȷàng	 release; let go	24893
下	xià	haeX haeX	háe háe	 down / down	24894
下	xià	haeX haeX	háe háe	 down / down	24894
天下	tiānxià	then then haeX haeX	thēn thēn háe háe	 heaven / heaven / down / down	24894
來	lái	loj	lōȷ	 a kind of wheat	24899
到	dào	tawH	tàw	 arrive	24911
自	zì	dzijH	dzı̀ȷ	 self (adv.)	24926
自	zì	dzijH	dzı̀ȷ	 self (adv.)	24926
己	jǐ	kiX	kı́	 6th heavenly stem	24927
己	jǐ	kiX	kı́	 6th heavenly stem	24927
被	bèi	bjeX bjeX	bȷé bȷé	 coverlet / coverlet	24929
假	jiǎ	kaeX	káe	 borrow; false	24941
假	jiǎ	kaeX	káe	 borrow; false	24941
使	shì	sriX	ṣı́		24942
使	shǐ	sriX	ṣı́	 send; cause	24942
使	shǐ	sriX	ṣı́	 send; cause	24942
要	yào	'jiewH	'ȷı̀ew	 important	24944
用	yòng	yowngH	yòwng	 use (v.)	24945
治	chí	dri	ḍı̄	 regulate, arrange	24950
治	zhì	driH driH	ḍı̀ ḍı̀	 regulate, arrange / regulate, arrange	24950
眾/衆	zhòng	tsyuwngH	ts̯ùwng	 numerous	25005
皆	jiē	keaj	kēaȷ	 all	25011
類	lèi	lwijH	lwı̀ȷ	 category	25015
疑	yí	ngi	ngı̄	 doubt	25022
屬	zhǔ	tsyowk	ts̯owk	 attach (v.t.)	25023
屬	shǔ	dzyowk	dz̯owk	 be attached to	25023
待	dài	dojX	dóȷ	 wait on; depend on	25027
去	qǔ	khjoX	khȷó		29176
去	qù	khjoH khjoX	khȷò khȷó	 depart / get rid of	29176
物	wù	mjut	mȷut	 thing	29502
朋	péng	bong	bōng	 set of cowries; friend	29539
友	yǒu	hjuwX	hȷúw	 friend	29540
妻	qī	tshej	tshēȷ	 consort, wife	29586
妻	qì	tshejH tshejH	tshèȷ tshèȷ	 give as wife / give as wife	29586
實	shí	zyit	z̯ıt	 fruit; full	44355
實	shí	zyit	z̯ıt	 fruit; full	44355
實	shí	zyit	z̯ıt	 fruit; full	44355
虛	xū	xjo khjo	xȷō khȷō	 empty / hill, mound; abandoned city	44362
城	chéng	dzyeng	dz̯ēng	 city wall	45445
木	mù	muwk	muwk	 tree, wood	45473
德	dé	tok	tok	 virtue	45776
前	qián	dzen	dzēn	 before	45937
昔	xī	sjek	sȷek	 in the past	46003
堯	Yáo	ngew	ngēw	 high	46104
河	Hé	ha	hā	 river	46117
我	wǒ	ngaX	ngá	 we, I	46954
誰	shéi	dzywij	dz̯wı̄ȷ		47041
某	mǒu	muwX	múw	 so and so; a certain	47081
所	suǒ	srjoX srjoX	ṣȷó ṣȷó	 place (n.); that which / place (n.); that which	47167
分	fēn	pjun pjun	pȷūn pȷūn	 divide / divide	48039
分	fèn	bjunH	bȷùn	 alloted duty	48039
休	xiū	xjuw	xȷūw	 rest (v.)	48265
小	xiǎo	sjewX	sȷéw	 small	48413
小人	xiǎorén	sjewX nyin	sȷéw n̯ı̄n	 small / (other) person	48413
七	qī	tshit	tshıt	 seven	49544
九	jiǔ	kjuwX	kȷúw	 nine	49548
千	qiān	tshen	tshēn	 thousand	49611
萬	wàn	mjonH	mȷòn	 10,000	49614
官	guān	kwan	kwān	 official (n.)	50724
最	zuì	tswajH	tswàȷ	 collect; most	52036
忽	hū	xwot	xwot	 careless; confused	52113
或	huò	hwok	hwok	 some; or	52144
或者	huozhě	hwok tsyaeX	hwok ts̯áe	  / (nominalizing particle)	52144
各	gè	kak	kak	 each	52158
乎	hū	hu	hū	 (Q particle)	52872
乎	hū	hu	hū	 (Q particle)	52872
反	fǎn	pjonX baenX	pȷón báen	 reverse (v.) / dignified, grand	56861
反	fǎn	pjonX baenX	pȷón báen	 reverse (v.) / dignified, grand	56861
善	shàn	dzyenX	dz̯én	 good	56881
坐	zuò	dzwaX dzwaX	dzwá dzwá	 sit / sit	56912
舜	Shùn	sywinH	s̯wı̀n	 Hibiscus	59350
父	fù	bjuX bjuX	bȷú bȷú	 father / father	59364
大父	dàfù	daH daH bjuX bjuX	dà dà bȷú bȷú	 big / big / father / father	59364
箕	jī	ki	kı̄	 winnowing basket	59372
作	zuò	tsak	tsak	 do, work	59540
樂	lè	lak lak	lak lak	 to cure / to cure	59550
樂	yuè	ngaewk	ngaewk	 music	59550
樂	yào	ngaewH	ngàew	 cause to rejoice	59550
奴	nú	nu	nū	 slave	59563
近	jìn	gj+nH gj+nX	gȷų̀n gȷų́n	 "be near to (v.t.)" / near	61507
近	jìn	gj+nH gj+nX	gȷų̀n gȷų́n	 "be near to (v.t.)" / near	61507
是	shì	dzyeX	dz̯é	 this	66470
是	shì	dzyeX	dz̯é	 this	66470
著/箸	zhù	trjoH	ṭȷò	 place (n.); visible	66539
社	shè	dzyaeX	dz̯áe	 sacrifice to the spirit of the soil	67585
會	huì	hwajH hwajH	hwàȷ hwàȷ	 meeting; have a meeting / meeting; have a meeting	67586
